image_name,scene_type=natural_landscape,scene_type=urban,scene_type=indoor,scene_type=portrait,scene_type=other,lighting_type=daylight,lighting_type=artificial,lighting_type=mixed,luminance_level=high,luminance_level=medium,luminance_level=low,camera_to_object_distance=close,camera_to_object_distance=medium,camera_to_object_distance=far,memory_color=sky_blue,memory_color=grass_foliage_green,memory_color=human_skin_tone,memory_color=water_blue,memory_color=snow_cloud_white,memory_color=none
KonIQ-10k IQA Database/512x384/10027545463.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
KonIQ-10k IQA Database/512x384/10020891105.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0
KonIQ-10k IQA Database/512x384/10031298826.jpg,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10031913154.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10041870415.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
KonIQ-10k IQA Database/512x384/10039534103.jpg,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
KonIQ-10k IQA Database/512x384/10043785683.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
KonIQ-10k IQA Database/512x384/10058760545.jpg,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10050349236.jpg,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10048365153.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
KonIQ-10k IQA Database/512x384/10047832035.jpg,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10061596254.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10059344614.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
KonIQ-10k IQA Database/512x384/10067457634.jpg,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10068507976.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10069534975.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10068778516.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10071864114.jpg,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0
KonIQ-10k IQA Database/512x384/10075168775.jpg,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10077880165.jpg,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10079711433.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10077468576.jpg,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
KonIQ-10k IQA Database/512x384/100882570.jpg,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10082923485.jpg,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10089027076.jpg,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10086300493.jpg,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10089177336.jpg,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10093057603.jpg,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10091520555.jpg,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10110458216.jpg,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10094235786.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
KonIQ-10k IQA Database/512x384/10111411235.jpg,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10115071674.jpg,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10113730664.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
KonIQ-10k IQA Database/512x384/10125013364.jpg,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
KonIQ-10k IQA Database/512x384/10121813934.jpg,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10126857344.jpg,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10118773964.jpg,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10130566006.jpg,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
KonIQ-10k IQA Database/512x384/10126177964.jpg,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10131980434.jpg,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
KonIQ-10k IQA Database/512x384/10140071304.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10134737015.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10133867305.jpg,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10147970884.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0
KonIQ-10k IQA Database/512x384/1014369849.jpg,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10153847086.jpg,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0
KonIQ-10k IQA Database/512x384/10154367094.jpg,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/101484668.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10155925686.jpg,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0
KonIQ-10k IQA Database/512x384/10154991453.jpg,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/101601008.jpg,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10164654253.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10164842933.jpg,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0
KonIQ-10k IQA Database/512x384/10173544123.jpg,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
KonIQ-10k IQA Database/512x384/10177270623.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10169304416.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
KonIQ-10k IQA Database/512x384/10177793964.jpg,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10178112894.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10178183416.jpg,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0
KonIQ-10k IQA Database/512x384/1017647143.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0
KonIQ-10k IQA Database/512x384/10178914656.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10186643874.jpg,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10183769356.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
KonIQ-10k IQA Database/512x384/10186680555.jpg,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10186832194.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
KonIQ-10k IQA Database/512x384/10187102065.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10187522803.jpg,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
KonIQ-10k IQA Database/512x384/10191607755.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10196228605.jpg,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
KonIQ-10k IQA Database/512x384/10203647273.jpg,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10205220286.jpg,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
KonIQ-10k IQA Database/512x384/10206674394.jpg,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10207172624.jpg,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
KonIQ-10k IQA Database/512x384/10209917915.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10218118033.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10209014225.jpg,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
KonIQ-10k IQA Database/512x384/10211880874.jpg,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10213881683.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10221144393.jpg,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10224586444.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10226524916.jpg,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10241630856.jpg,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10226277514.jpg,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
KonIQ-10k IQA Database/512x384/10241895785.jpg,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10244314384.jpg,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10227210045.jpg,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10244715656.jpg,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10246311914.jpg,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0
KonIQ-10k IQA Database/512x384/10258169584.jpg,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10246318724.jpg,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0
KonIQ-10k IQA Database/512x384/10262588616.jpg,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
KonIQ-10k IQA Database/512x384/1026198859.jpg,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10260190424.jpg,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10264984793.jpg,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10265315316.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10264804094.jpg,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10265809113.jpg,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10273804555.jpg,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10278246465.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10279904885.jpg,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/1027833701.jpg,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10280835505.jpg,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
KonIQ-10k IQA Database/512x384/10280683815.jpg,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
KonIQ-10k IQA Database/512x384/10287677265.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10289468185.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10283619534.jpg,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/102825508.jpg,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10295875445.jpg,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10290759976.jpg,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/1029470257.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
KonIQ-10k IQA Database/512x384/102995966.jpg,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10299438733.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10296038236.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10316734944.jpg,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10319713194.jpg,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10319186405.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10325321.jpg,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10329235193.jpg,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10329149264.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10330831494.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10327985614.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10336689775.jpg,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/103400056.jpg,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10344523015.jpg,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
KonIQ-10k IQA Database/512x384/10335072144.jpg,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0
KonIQ-10k IQA Database/512x384/10344921126.jpg,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10342569703.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/1034624333.jpg,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
KonIQ-10k IQA Database/512x384/10346758803.jpg,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10346796664.jpg,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0
KonIQ-10k IQA Database/512x384/10350497833.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10349956885.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10351189716.jpg,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10353620913.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10362672006.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10358252894.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10366373284.jpg,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/1036840624.jpg,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
KonIQ-10k IQA Database/512x384/10371125786.jpg,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10375167904.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10382843045.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10372323314.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10373546175.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10387844376.jpg,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10387390396.jpg,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
KonIQ-10k IQA Database/512x384/10388184626.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10371211803.jpg,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
KonIQ-10k IQA Database/512x384/10397631976.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10397166423.jpg,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10395523125.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
KonIQ-10k IQA Database/512x384/10403509543.jpg,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10407720764.jpg,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10408374535.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10399580503.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10410038143.jpg,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10408474376.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10409059825.jpg,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10412894895.jpg,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10415628976.jpg,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10414716033.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
KonIQ-10k IQA Database/512x384/10422425365.jpg,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10423472445.jpg,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/104219737.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
KonIQ-10k IQA Database/512x384/10415631353.jpg,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
KonIQ-10k IQA Database/512x384/10422776735.jpg,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10430002553.jpg,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10429780626.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
KonIQ-10k IQA Database/512x384/10451177016.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10442628686.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
KonIQ-10k IQA Database/512x384/10446810546.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10430335945.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
KonIQ-10k IQA Database/512x384/10446770756.jpg,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10440370734.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10453950204.jpg,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10458591.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10459022813.jpg,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
KonIQ-10k IQA Database/512x384/10463583515.jpg,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10463545414.jpg,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
KonIQ-10k IQA Database/512x384/10458703674.jpg,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
KonIQ-10k IQA Database/512x384/10464940425.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10465121613.jpg,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/10466453556.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/10466350116.jpg,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10465293055.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0
KonIQ-10k IQA Database/512x384/10468540574.jpg,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0
KonIQ-10k IQA Database/512x384/10468110795.jpg,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
KonIQ-10k IQA Database/512x384/10469774844.jpg,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
